time,county_code,present,event,delta
2024-11-23 05:00:00+00:00,6085,1,11,30
2024-11-23 05:00:00+00:00,6067,1,13,30
2024-11-23 05:00:00+00:00,6075,1,10,30
2024-11-24 05:00:00+00:00,6087,1,23,30
2024-11-24 05:00:00+00:00,6041,1,26,30
2024-11-24 05:00:00+00:00,6067,1,13,30
2024-11-24 05:00:00+00:00,6037,1,14,30
2024-11-24 05:00:00+00:00,6085,1,11,30
2024-11-24 05:00:00+00:00,6073,1,19,30
2024-11-24 05:00:00+00:00,6053,1,25,30
2024-11-24 05:00:00+00:00,6081,1,12,30
2024-11-24 05:00:00+00:00,6075,1,10,30
2024-11-25 05:00:00+00:00,6065,1,20,30
2024-11-25 05:00:00+00:00,6037,1,14,30
2024-11-25 05:00:00+00:00,6055,1,17,30
2024-11-25 05:00:00+00:00,6071,1,15,30
2024-11-25 05:00:00+00:00,6073,1,19,30
2024-11-25 05:00:00+00:00,6081,1,12,30
2024-11-25 05:00:00+00:00,6085,1,11,30
2024-11-25 05:00:00+00:00,6079,1,21,30
2024-11-25 05:00:00+00:00,6099,1,9,30
2024-11-25 05:00:00+00:00,6067,1,13,30
2024-11-25 05:00:00+00:00,6075,1,10,30
2024-11-25 05:00:00+00:00,6047,1,16,30
2024-11-26 05:00:00+00:00,6085,1,11,30
2024-11-26 05:00:00+00:00,6087,1,23,30
2024-11-26 05:00:00+00:00,6067,1,13,30
2024-11-26 05:00:00+00:00,6075,1,10,30
2024-11-26 05:00:00+00:00,6081,1,12,30
2024-11-26 05:00:00+00:00,6079,1,21,30
2024-11-26 05:00:00+00:00,6095,1,22,30
2024-11-27 05:00:00+00:00,6047,1,16,30
2024-11-27 05:00:00+00:00,6073,1,19,30
2024-11-27 05:00:00+00:00,6075,1,10,30
2024-11-27 05:00:00+00:00,6099,1,9,30
2024-11-27 05:00:00+00:00,6095,1,22,30
2024-11-27 05:00:00+00:00,6071,1,15,30
2024-11-27 05:00:00+00:00,6083,1,18,30
2024-11-27 05:00:00+00:00,6067,1,13,30
2024-11-27 05:00:00+00:00,6085,1,11,30
2024-11-27 05:00:00+00:00,6055,1,17,30
2024-11-27 05:00:00+00:00,6065,1,20,30
2024-11-27 05:00:00+00:00,6037,1,14,30
2024-11-27 05:00:00+00:00,6081,1,12,30
2024-11-28 05:00:00+00:00,6081,1,12,30
2024-11-28 05:00:00+00:00,6085,1,11,30
2024-11-28 05:00:00+00:00,6067,1,13,30
2024-11-28 05:00:00+00:00,6095,1,22,30
2024-11-28 05:00:00+00:00,6075,1,10,30
2024-11-29 05:00:00+00:00,6081,1,12,30
2024-11-29 05:00:00+00:00,6099,1,9,30
2024-11-29 05:00:00+00:00,19103,1,27,30
2024-11-29 05:00:00+00:00,6055,1,17,30
2024-11-29 05:00:00+00:00,6065,1,20,30
2024-11-29 05:00:00+00:00,6085,1,11,30
2024-11-29 05:00:00+00:00,6067,1,13,30
2024-11-29 05:00:00+00:00,6047,1,16,30
2024-11-30 05:00:00+00:00,6067,1,13,30
2024-11-30 05:00:00+00:00,6075,1,10,30
2024-11-30 05:00:00+00:00,6081,1,12,30
2024-11-30 05:00:00+00:00,6085,1,11,30
2024-12-01 05:00:00+00:00,6053,1,25,30
2024-12-01 05:00:00+00:00,6073,1,19,30
2024-12-01 05:00:00+00:00,6037,1,14,30
2024-12-01 05:00:00+00:00,6075,1,10,30
2024-12-01 05:00:00+00:00,6081,1,12,30
2024-12-01 05:00:00+00:00,6067,1,13,30
2024-12-01 05:00:00+00:00,6085,1,11,30
2024-12-02 05:00:00+00:00,6047,1,16,30
2024-12-02 05:00:00+00:00,6079,1,21,30
2024-12-02 05:00:00+00:00,19179,1,28,30
2024-12-02 05:00:00+00:00,6099,1,9,30
2024-12-02 05:00:00+00:00,6071,1,15,30
2024-12-02 05:00:00+00:00,19103,1,27,30
2024-12-02 05:00:00+00:00,6067,1,13,30
2024-12-02 05:00:00+00:00,6055,1,17,30
2024-12-02 05:00:00+00:00,6081,1,12,30
2024-12-02 05:00:00+00:00,6037,1,14,30
2024-12-02 05:00:00+00:00,6085,1,11,30
2024-12-02 05:00:00+00:00,6065,1,20,30
2024-12-02 05:00:00+00:00,6075,1,10,30
2024-12-03 05:00:00+00:00,6079,1,21,30
2024-12-03 05:00:00+00:00,6075,1,10,30
2024-12-03 05:00:00+00:00,6081,1,12,30
2024-12-03 05:00:00+00:00,6085,1,11,30
2024-12-03 05:00:00+00:00,6095,1,22,30
2024-12-03 05:00:00+00:00,6067,1,13,30
2024-12-03 05:00:00+00:00,6037,1,14,30
2024-12-04 05:00:00+00:00,19179,1,28,30
2024-12-04 05:00:00+00:00,6085,1,11,30
2024-12-04 05:00:00+00:00,6053,1,25,30
2024-12-04 05:00:00+00:00,6067,1,13,30
2024-12-04 05:00:00+00:00,6037,1,14,30
2024-12-04 05:00:00+00:00,6065,1,20,30
2024-12-04 05:00:00+00:00,6055,1,17,30
2024-12-04 05:00:00+00:00,6047,1,16,30
2024-12-04 05:00:00+00:00,6071,1,15,30
2024-12-04 05:00:00+00:00,6097,1,24,30
2024-12-04 05:00:00+00:00,6081,1,12,30
2024-12-04 05:00:00+00:00,6075,1,10,30
2024-12-04 05:00:00+00:00,6099,1,9,30
2024-12-04 05:00:00+00:00,19103,1,27,30
2024-12-05 05:00:00+00:00,6085,1,11,30
2024-12-05 05:00:00+00:00,6095,1,22,30
2024-12-05 05:00:00+00:00,6079,1,21,30
2024-12-05 05:00:00+00:00,6071,1,15,30
2024-12-05 05:00:00+00:00,6075,1,10,30
2024-12-05 05:00:00+00:00,6081,1,12,30
2024-12-05 05:00:00+00:00,6067,1,13,30
2024-12-06 05:00:00+00:00,6055,1,17,30
2024-12-06 05:00:00+00:00,6047,1,16,30
2024-12-06 05:00:00+00:00,19103,1,27,30
2024-12-06 05:00:00+00:00,49035,1,29,30
2024-12-06 05:00:00+00:00,6075,1,10,30
2024-12-06 05:00:00+00:00,6099,1,9,30
2024-12-06 05:00:00+00:00,6067,1,13,30
2024-12-06 05:00:00+00:00,6081,1,12,30
2024-12-06 05:00:00+00:00,6065,1,20,30
2024-12-06 05:00:00+00:00,6085,1,11,30
2024-12-07 05:00:00+00:00,6085,1,11,30
2024-12-07 05:00:00+00:00,6081,1,12,30
2024-12-07 05:00:00+00:00,6075,1,10,30
2024-12-07 05:00:00+00:00,6067,1,13,30
2024-12-08 05:00:00+00:00,6037,1,14,30
2024-12-08 05:00:00+00:00,6085,1,11,30
2024-12-08 05:00:00+00:00,6081,1,12,30
2024-12-08 05:00:00+00:00,6067,1,13,30
2024-12-08 05:00:00+00:00,6097,1,24,30
2024-12-08 05:00:00+00:00,6041,1,26,30
2024-12-08 05:00:00+00:00,6075,1,10,30
2024-12-09 05:00:00+00:00,49035,1,29,30
2024-12-09 05:00:00+00:00,6067,1,13,30
2024-12-09 05:00:00+00:00,6055,1,17,30
2024-12-09 05:00:00+00:00,6099,1,9,30
2024-12-09 05:00:00+00:00,6079,1,21,30
2024-12-09 05:00:00+00:00,6113,1,30,30
2024-12-09 05:00:00+00:00,6047,1,16,30
2024-12-09 05:00:00+00:00,6037,1,14,30
2024-12-09 05:00:00+00:00,6085,1,11,30
2024-12-09 05:00:00+00:00,6053,1,25,30
2024-12-09 05:00:00+00:00,6075,1,10,30
2024-12-09 05:00:00+00:00,6071,1,15,30
2024-12-09 05:00:00+00:00,6081,1,12,30
2024-12-10 05:00:00+00:00,6071,1,15,30
2024-12-10 05:00:00+00:00,6085,1,11,30
2024-12-10 05:00:00+00:00,6041,1,26,30
2024-12-10 05:00:00+00:00,6079,1,21,30
2024-12-10 05:00:00+00:00,6097,1,24,30
2024-12-10 05:00:00+00:00,6037,1,14,30
2024-12-10 05:00:00+00:00,6075,1,10,30
2024-12-10 05:00:00+00:00,6081,1,12,30
2024-12-10 05:00:00+00:00,6067,1,13,30
2024-12-11 05:00:00+00:00,6099,1,9,30
2024-12-11 05:00:00+00:00,6075,1,10,30
2024-12-11 05:00:00+00:00,6081,1,12,30
2024-12-11 05:00:00+00:00,6071,1,15,30
2024-12-11 05:00:00+00:00,6067,1,13,30
2024-12-11 05:00:00+00:00,6055,1,17,30
2024-12-11 05:00:00+00:00,6097,1,24,30
2024-12-11 05:00:00+00:00,6037,1,14,30
2024-12-11 05:00:00+00:00,6085,1,11,30
2024-12-11 05:00:00+00:00,49035,1,29,30
2024-12-11 05:00:00+00:00,6113,1,30,30
2024-12-11 05:00:00+00:00,6047,1,16,30
2024-12-11 05:00:00+00:00,6053,1,25,30
2024-12-12 05:00:00+00:00,6075,1,10,30
2024-12-12 05:00:00+00:00,6071,1,15,30
2024-12-12 05:00:00+00:00,6081,1,12,30
2024-12-12 05:00:00+00:00,6079,1,21,30
2024-12-12 05:00:00+00:00,6067,1,13,30
2024-12-12 05:00:00+00:00,6085,1,11,30
2024-12-13 05:00:00+00:00,6099,1,9,30
2024-12-13 05:00:00+00:00,6085,1,11,30
2024-12-13 05:00:00+00:00,6055,1,17,30
2024-12-13 05:00:00+00:00,6067,1,13,30
2024-12-13 05:00:00+00:00,6075,1,10,30
2024-12-13 05:00:00+00:00,6053,1,25,30
2024-12-13 05:00:00+00:00,6081,1,12,30
2024-12-13 05:00:00+00:00,6113,1,30,30
2024-12-13 05:00:00+00:00,6065,1,20,30
2024-12-14 05:00:00+00:00,6067,1,13,30
2024-12-14 05:00:00+00:00,6085,1,11,30
2024-12-14 05:00:00+00:00,6081,1,12,30
2024-12-14 05:00:00+00:00,6075,1,10,30
2024-12-15 05:00:00+00:00,6053,1,25,30
2024-12-15 05:00:00+00:00,6085,1,11,30
2024-12-15 05:00:00+00:00,6037,1,14,30
2024-12-15 05:00:00+00:00,6097,1,24,30
2024-12-15 05:00:00+00:00,6081,1,12,30
2024-12-15 05:00:00+00:00,6067,1,13,30
2024-12-15 05:00:00+00:00,6075,1,10,30
2024-12-16 05:00:00+00:00,6067,1,13,30
2024-12-16 05:00:00+00:00,6079,1,21,30
2024-12-16 05:00:00+00:00,6075,1,10,30
2024-12-16 05:00:00+00:00,6055,1,17,30
2024-12-16 05:00:00+00:00,6113,1,30,30
2024-12-16 05:00:00+00:00,6037,1,14,30
2024-12-16 05:00:00+00:00,6047,1,16,30
2024-12-16 05:00:00+00:00,6071,1,15,30
2024-12-16 05:00:00+00:00,6081,1,12,30
2024-12-16 05:00:00+00:00,6099,1,9,30
2024-12-16 05:00:00+00:00,6065,1,20,30
2024-12-16 05:00:00+00:00,6085,1,11,30
2024-12-17 05:00:00+00:00,6041,1,26,30
2024-12-17 05:00:00+00:00,6067,1,13,30
2024-12-17 05:00:00+00:00,6097,1,24,30
2024-12-17 05:00:00+00:00,6079,1,21,30
2024-12-17 05:00:00+00:00,6081,1,12,30
2024-12-17 05:00:00+00:00,6075,1,10,30
2024-12-17 05:00:00+00:00,6037,1,14,30
2024-12-17 05:00:00+00:00,6085,1,11,30
2024-12-17 05:00:00+00:00,6001,1,31,30
2024-12-18 05:00:00+00:00,6037,1,14,30
2024-12-18 05:00:00+00:00,6047,1,16,30
2024-12-18 05:00:00+00:00,6113,1,30,30
2024-12-18 05:00:00+00:00,6067,1,13,30
2024-12-18 05:00:00+00:00,6081,1,12,30
2024-12-18 05:00:00+00:00,6099,1,9,30
2024-12-18 05:00:00+00:00,6053,1,25,30
2024-12-18 05:00:00+00:00,6055,1,17,30
2024-12-18 05:00:00+00:00,6075,1,10,30
2024-12-18 05:00:00+00:00,6085,1,11,30
2024-12-18 05:00:00+00:00,6097,1,24,30
2024-12-18 05:00:00+00:00,6065,1,20,30
2024-12-18 05:00:00+00:00,6071,1,15,30
2024-12-19 05:00:00+00:00,6081,1,12,30
2024-12-19 05:00:00+00:00,6071,1,15,30
2024-12-19 05:00:00+00:00,6067,1,13,30
2024-12-19 05:00:00+00:00,6001,1,31,30
2024-12-19 05:00:00+00:00,6085,1,11,30
2024-12-19 05:00:00+00:00,6079,1,21,30
2024-12-19 05:00:00+00:00,6075,1,10,30
2024-12-20 05:00:00+00:00,6055,1,17,30
2024-12-20 05:00:00+00:00,6113,1,30,30
2024-12-20 05:00:00+00:00,6099,1,9,30
2024-12-20 05:00:00+00:00,6047,1,16,30
2024-12-20 05:00:00+00:00,6041,1,26,30
2024-12-20 05:00:00+00:00,6081,1,12,30
2024-12-20 05:00:00+00:00,6053,1,25,30
2024-12-20 05:00:00+00:00,6067,1,13,30
2024-12-20 05:00:00+00:00,6065,1,20,30
2024-12-20 05:00:00+00:00,6085,1,11,30
2024-12-20 05:00:00+00:00,6075,1,10,30
2024-12-21 05:00:00+00:00,6075,1,10,30
2024-12-21 05:00:00+00:00,6085,1,11,30
2024-12-21 05:00:00+00:00,6067,1,13,30
2024-12-21 05:00:00+00:00,6081,1,12,30
2024-12-22 05:00:00+00:00,6037,1,14,30
2024-12-22 05:00:00+00:00,6067,1,13,30
