month	state	Avian-Domestic-Other	Avian-Wild	Cattle	Chicken	Human	Nonhuman-mammal	Turkey	Unknown
2022-12	OR	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	PA	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	SC	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	SD	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	TN	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	TX	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	USA	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	VA	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	WA	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	WY	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
2023-01	AL	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
2023-01	AR	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
2023-01	AZ	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2023-01	CA	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0
2023-01	CO	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0
2023-01	FL	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2023-01	IA	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
2023-01	ID	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2023-01	IN	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2023-01	MA	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0
2023-01	ME	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2023-01	MI	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
2023-01	MN	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2023-01	MO	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2023-01	MS	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0
2023-01	MT	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
2023-01	NC	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2023-01	NE	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2023-01	NM	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
