id,name,country,lt,ln,pop
401,Echuca,AUS,-36.12959186,144.750017,13460
402,Deniliquin,AUS,-35.5295768,144.9500048,6019.5
403,Nowra,AUS,-34.88284625,150.6000476,61036.5
404,Ulladulla,AUS,-35.34953611,150.4700297,6811
405,Batemans Bay,AUS,-35.68961871,150.2073067,5604
406,Cooma,AUS,-36.23955931,149.1200345,5661.5
407,Tumut,AUS,-35.30959023,148.2200378,4873
408,Leeton,AUS,-34.54493406,146.3973067,6277
409,Young,AUS,-34.30959959,148.2900077,6422
410,Cowra,AUS,-33.82962889,148.6800097,5729.5
411,Forbes,AUS,-33.38960407,148.0199983,4076.5
412,Goulburn,AUS,-34.74957273,149.7101794,16444
413,Kiama,AUS,-34.70957518,150.8400329,10379
414,Katoomba,AUS,-33.70694904,150.320013,20334.5
415,Richmond,AUS,-33.59951373,150.7399873,9720
416,Lithgow,AUS,-33.49610919,150.152788,10338
417,Parkes,AUS,-33.12956826,148.170015,7160
418,Bathurst,AUS,-33.41962807,149.5700329,6111
419,Maitland,AUS,-32.72096271,151.555028,10026.5
420,Singleton,AUS,-32.56949909,151.1600134,8340.5
421,Mudgee,AUS,-32.58960122,149.5801098,5391
422,Muswellbrook,AUS,-32.26956907,150.890004,8171
423,Taree,AUS,-31.89760211,152.4618461,30131.5
424,Kempsey,AUS,-31.08736733,152.8220308,10681
425,Gunnedah,AUS,-30.9870117,150.2622904,6204
426,Coffs Harbour,AUS,-30.3070532,153.1122973,48961
427,Narrabri,AUS,-30.33190957,149.7874357,6105.5
428,Inverell,AUS,-29.7667761,151.1125744,6845.5
429,Yamba,AUS,-29.42299136,153.353312,1806
430,Ballina,AUS,-28.86135333,153.5679801,13997.5
431,Wagga Wagga,AUS,-35.12215981,147.3399882,45549
432,Scone,AUS,-32.07960651,150.8501098,4624
433,Byron Bay,AUS,-28.65650796,153.6128869,5244.5
434,Berri,AUS,-34.28293455,140.6000378,4523
435,Peterborough,AUS,-32.96616738,138.8333239,1351
436,Wallaroo,AUS,-33.9328784,137.6332938,2442
437,Clare,AUS,-33.8328845,138.6000048,2729
438,Meningie,AUS,-35.69954059,139.3333451,850
439,Kingston South East,AUS,-36.83280475,139.8500577,206
